code,title
01.1.1.1,Cereals
01.1.1.1,Wheat - a common cereal grain used for making bread and noodles
01.1.1.1,"Rice, including parboiled rice - a staple food in many cultures, used in a variety of dishes"
01.1.1.1,"Sorghum - a cereal grain used for making bread, porridge, and alcoholic beverages"
01.1.1.1,Barley - a cereal grain used for making beer and as a food for livestock
01.1.1.1,Millet - a cereal grain used for making porridge and bread
01.1.1.1,Maize (corn) - a cereal grain used for making food for humans and livestock
01.1.1.1,"Quinoa - a pseudocereal used for making a variety of dishes, high in protein and fiber"
01.1.1.1,"Teff - a tiny grain used for making injera, a type of flatbread, in Ethiopia"
01.1.1.1,Bulgur - a type of cracked wheat used in salads and pilafs
01.1.1.1,"Rye - a cereal grain used for making bread, particularly rye bread"
01.1.1.1,Oats - a cereal grain used for making oatmeal and oat-based products
01.1.1.1,"Triticale - a hybrid of wheat and rye, used for making bread and as a food for livestock"
01.1.1.1,"Buckwheat - a pseudocereal used for making a variety of dishes, high in protein and fiber"
01.1.1.1,Canary seed - a small seed used for making birdseed and as a food for humans in some cultures
01.1.1.1,"Quihuicha, or Inca wheat - a type of wheat grown in the Andes"
01.1.1.1,"Canagua, or coaihua - a type of grain grown in Mexico"
01.1.1.1,Adlay or Job's tears - a type of grain used for making a variety of dishes in Asia
01.1.1.1,"Mixed cereal grains - a mixture of grains, such as oats, barley, and wheat, used for making a variety of dishes"
01.1.1.2,Flour of cereals
01.1.1.2,flour of cereals listed under subclass 01.1.1.1
01.1.1.2,instant flour for bakery products with yeasts added
01.1.1.2,"polenta flour, whether instant (pre-steamed) or not"
01.1.1.3,Bread and bakery products
01.1.1.3,bread
01.1.1.3,bread rolls
01.1.1.3,"crispbreads, rusks, toasted bread and crackers"
01.1.1.3,tortillas
01.1.1.3,injera
01.1.1.3,"pizza bases without topping, whether precooked or not"
01.1.1.3,gingerbread and the like
01.1.1.3,sweet biscuits (cookies)
01.1.1.3,waffles and wafers
01.1.1.3,ice cream cones
01.1.1.3,"crumpets, muffins, croissants, sweet tarts, sweet pies, and other pastry goods and cakes"
01.1.1.9,Other milled cereal and grain products
01.1.1.9,mixes and doughs for the preparation of bakery products
01.1.1.9,popcorn
01.1.1.9,granola bars
01.1.1.9,malt and malt extract
01.1.1.9,cereal chips and crisps
01.1.1.9,seitan and other meat substitutes made from cereals
01.1.2.2,"Meat, fresh, chilled or frozen"
01.1.2.2,"Meat of cattle (cows, calves, common ox, zebu or humped ox, watusi, gaur, gayal, banteng and yak)"
01.1.2.2,"Meat of buffaloes (Indian or water buffaloes, arnis or wild water buffaloes, Asiatic buffalo or arni, Sulawesi anoas or pygmy buffaloes, African buffaloes, American bisons or buffaloes, European bisons, and beefaloes)"
01.1.2.2,Meat of pigs
01.1.2.2,"Meat of goats, lambs and sheep"
01.1.2.2,"Meat of poultry (chickens, ducks, geese, turkeys and guinea fowl)"
01.1.2.2,Meat of hares and rabbits
01.1.2.2,"Meat of horses, donkeys and other equines"
01.1.2.2,"Meat of camels, dromedaries, alpaca, llamas, guanacos, vicunas and other camelids"
01.1.2.2,"Meat of antelopes, deer, boars and kangaroos"
01.1.2.2,"Meat of ostriches, emus, rheas, pheasants, grouse, pigeons, quails and other birds"
01.1.2.2,"Meat of snakes, alligators and other reptiles"
01.1.2.2,"Spiders, scorpions, insects, and worms (not-live)"
01.1.2.2,Terrestrial snails
01.1.2.2,Frogs
01.1.2.2,Minced meat of the animals listed directly above
01.1.2.2,"Meat of seals, walruses, whales and other marine mammals"
01.1.2.3,"Meat, dried, salted, in brine or smoked"
01.1.2.3,"dried meat of all animals listed in 01.1.2.2, both domestic and wild"
01.1.2.3,"salted meat of all animals listed in 01.1.2.2, both domestic and wild"
01.1.2.3,"meat in brine of all animals listed in 01.1.2.2, both domestic and wild"
01.1.2.3,"smoked meat of all animals listed in 01.1.2.2, both domestic and wild"
01.1.2.3,bacon
01.1.2.3,ham
01.1.2.3,salami
01.1.2.5,"Preparations of meat, offal, blood and other parts of slaughtered animals"
01.1.2.5,"Preparations of meat, offal, and blood, whether frozen or not"
01.1.2.5,"Sausages and similar meat, offal, and blood products"
01.1.2.5,Marinated meat
01.1.2.5,"Canned meat, meat extracts, and meat juices"
01.1.2.5,"Minced meat mix, from different types of meat"
01.1.2.5,"All kinds of pate, including liver pate"
01.1.2.5,Breaded meat
01.1.2.5,"Other preparations of meat, offal, and blood"
01.1.3.2,"Fish, dried, salted, in brine or smoked"
01.1.3.2,dried fish fillets
01.1.3.2,salted fish meat
01.1.3.2,fish in brine
01.1.3.2,smoked fish
01.1.3.6,Other seafood preparations
01.1.3.6,"Prepared foodstuffs consisting of other seafood (not listed in subclass 01.1.3.4), frozen"
01.1.3.6,"Prepared foodstuffs consisting of other seafood (not listed in subclass 01.1.3.4), not frozen"
01.1.3.7,"Livers, roes and other offal of fish and of other seafood in all forms"
01.1.3.7,meal of fish
01.1.3.7,livers of fish
01.1.3.7,roes of fish
01.1.3.7,fins of fish
01.1.3.7,maws of fish
01.1.3.7,other offal of fish
01.1.3.7,meal of other seafood
01.1.3.7,livers of other seafood
01.1.3.7,roes of other seafood
01.1.3.7,fins of other seafood
01.1.3.7,maws of other seafood
01.1.3.7,other offal of other seafood
01.1.3.7,"all forms of fish offal (fresh, chilled, frozen, dried, salted, in brine or smoked, prepared or preserved)"
01.1.4.1,Raw and whole milk
01.1.4.1,"Raw and whole milk of cattle, fresh"
01.1.4.1,Pasteurized whole milk of buffaloes
01.1.4.1,Sterilized (UHT) whole milk of sheep
01.1.4.1,Reconstituted whole milk of goats
01.1.4.1,"Raw whole milk of camels, fresh"
01.1.4.3,Other milk and cream
01.1.4.3,Powdered whole milk
01.1.4.3,Powdered skimmed milk
01.1.4.3,Evaporated milk
01.1.4.3,Condensed milk
01.1.4.3,Fresh milk
01.1.4.3,Clotted cream
01.1.4.3,Thickened cream
01.1.4.3,Whipped cream
01.1.4.3,Baked milk
01.1.4.4,Non-animal milk
01.1.4.4,Non-animal milk
01.1.4.4,Almond milk
01.1.4.4,Coconut milk for drinking
01.1.4.4,Oat milk
01.1.4.4,Rice milk
01.1.4.4,Soy milk
01.1.4.4,Other milk from vegetables and nuts
01.1.4.6,Yoghurt and similar products
01.1.4.6,yoghurt
01.1.4.6,buttermilk and other fermented dairy products
01.1.4.6,curdled milk and cream
01.1.4.6,"kefir and other fermented or acidified milk and cream, whether or not they are concentrated, contain added sugar or other sweetening matter, are flavoured or contain added fruits, nuts or cocoa"
01.1.4.6,"yoghurt from non-animal milk (e.g., coconut yoghurt and soy yoghurt)"
01.1.4.7,Milk-based dessert and beverages
01.1.4.7,"milk-based dessert containing milk of animal origin, such as creme caramel"
01.1.4.7,"milk-based dessert containing milk of non-animal origin, such as soy-based panna cotta"
01.1.4.7,"milk-based beverage containing milk of animal origin and flavored with cocoa, such as hot chocolate"
01.1.4.7,"milk-based beverage containing milk of non-animal origin and flavored with coffee, such as soy latte"
01.1.4.7,"milk-based pudding containing milk of animal origin, such as rice pudding"
01.1.4.7,panna cotta made with milk of non-animal origin
01.1.4.7,creme brulee made with milk of animal origin
01.1.4.7,crema catalana made with milk of animal origin
01.1.4.8,Eggs
01.1.4.8,"eggs of hens in shell, fresh"
01.1.4.8,"eggs of other birds in shell, fresh"
01.1.4.8,"turtle eggs in shell, fresh"
01.1.4.8,"preserved or cooked eggs, with or without shell"
01.1.4.8,fresh or preserved egg yolks
01.1.4.8,fresh egg albumen
01.1.5.1,Vegetable oils
01.1.5.1,Sunflower seed oil and safflower oil
01.1.5.1,Palm oil and olive oil
01.1.5.1,Soya bean oil
01.1.5.1,Groundnut oil
01.1.5.1,"Rapeseed, colza, and mustard oil"
01.1.5.1,Corn oil
01.1.5.1,Cotton oil
01.1.5.1,"Other oils of vegetable origin such as coconut oil, avocado oil, and rice bran oil"
01.1.5.2,Butter and other oils and fats derived from milk
01.1.5.2,butter
01.1.5.2,butter oil
01.1.5.2,ghee
01.1.6.2,"Citrus fruits, fresh"
01.1.6.2,"orange - a type of citrus fruit that is round, usually orange in color, and has a sweet, tangy flavor"
01.1.6.2,"pomelo - a large, green or yellow citrus fruit with a thick, tough rind and juicy, slightly sweet flesh"
01.1.6.2,"grapefruit - a type of citrus fruit that is typically pink or yellow and has a tangy, slightly bitter flavor"
01.1.6.2,"lemon - a yellow citrus fruit that has a sour, tangy flavor and is often used in cooking and baking"
01.1.6.2,"lime - a small, green citrus fruit that has a sour, tangy flavor and is often used in drinks and cooking"
01.1.6.2,"tangerine - a type of citrus fruit that is small and orange, with a sweet, tangy flavor"
01.1.6.2,"mandarin - a type of citrus fruit that is small and orange, with a sweet, tangy flavor"
01.1.6.2,"clementine - a type of citrus fruit that is small and seedless, with a sweet, tangy flavor"
01.1.6.2,"other citrus fruits, fresh - any other types of citrus fruits that are fresh and have not been processed or preserved"
01.1.6.3,"Stone fruits and pome fruits, fresh"
01.1.6.3,fresh apples
01.1.6.3,"pears and quinces, fresh"
01.1.6.3,"apricots, fresh"
01.1.6.3,"cherries, fresh"
01.1.6.3,"sour cherries, fresh"
01.1.6.3,"peaches, fresh"
01.1.6.3,"nectarines, fresh"
01.1.6.3,"plums, fresh"
01.1.6.3,"sloes, fresh"
01.1.6.3,"other pome fruits, fresh"
01.1.6.3,"other stone fruits, fresh"
01.1.6.8,"Nuts, in shell or shelled"
01.1.6.8,almonds in shell
01.1.6.8,almonds shelled
01.1.6.8,cashew nuts in shell
01.1.6.8,cashew nuts shelled
01.1.6.8,chestnuts in shell
01.1.6.8,hazelnuts in shell
01.1.6.8,hazelnuts shelled
01.1.6.8,pistachios in shell
01.1.6.8,pistachios shelled
01.1.6.8,walnuts in shell
01.1.6.8,walnuts shelled
01.1.6.8,brazil nuts in shell
01.1.6.8,brazil nuts shelled
01.1.6.8,groundnuts in shell
01.1.6.8,groundnuts shelled
01.1.6.8,other nuts (in shell or shelled)
01.1.6.9,"Fruits and nuts, ground, and in other preparations"
01.1.6.9,fruit flour
01.1.6.9,nut flour
01.1.6.9,roasted and salted nuts
01.1.6.9,other prepared seeds
01.1.6.9,canned fruits
01.1.6.9,homogenized fruit preparations
01.1.6.9,fruit pickles
01.1.7.2,"Fruit-bearing vegetables, fresh or chilled"
01.1.7.2,"Chili, fresh or chilled"
01.1.7.2,"Pepper, fresh or chilled"
01.1.7.2,"Cucumber, fresh or chilled"
01.1.7.2,"Gherkin, fresh or chilled"
01.1.7.2,"Eggplant (aubergine), fresh or chilled"
01.1.7.2,"Tomato, fresh or chilled"
01.1.7.2,"Pumpkin, fresh or chilled"
01.1.7.2,"Squash, fresh or chilled"
01.1.7.2,"Gourd, fresh or chilled"
01.1.7.2,"Other fruit-bearing vegetables, fresh or chilled"
01.1.7.3,"Green leguminous vegetables, fresh or chilled"
01.1.7.3,"Green leguminous vegetable, fresh or chilled: beans"
01.1.7.3,"Green leguminous vegetable, fresh or chilled: peas"
01.1.7.3,"Green leguminous vegetable, fresh or chilled: broad beans (fava beans)"
01.1.7.3,"Green leguminous vegetable, fresh or chilled: soya beans"
01.1.7.3,"Green leguminous vegetable, fresh or chilled: other green leguminous vegetables (e.g., lentils, chickpeas)"
01.1.7.4,"Other vegetables, fresh or chilled"
01.1.7.4,carrots and turnips
01.1.7.4,garlic
01.1.7.4,onions
01.1.7.4,leeks and other alliaceous vegetables
01.1.7.4,"other root, bulb and tuberous vegetables, fresh or chilled"
01.1.7.4,mushrooms and truffles
01.1.7.4,seaweeds and other aquatic plants
01.1.7.4,olives
01.1.7.4,"other vegetables, fresh or chilled, n.e.c."
01.1.7.4,"mixtures of vegetables, fresh or chilled"
01.1.7.5,"Tubers, plantains and cooking bananas, fresh or chilled"
01.1.7.5,"Tubers: all types of potatoes, including sweet potatoes, cassava, manioc, yucca"
01.1.7.5,Tubers: yams
01.1.7.5,Tubers: taro
01.1.7.5,"Tubers: yautia (also known as malanga, new cocoyam, ocumo and tannia)"
01.1.7.5,Fruits: plantains and cooking bananas
01.1.7.5,"Fruits: arrowroots, lotus roots, Jerusalem artichokes (topinambur) and tacca"
01.1.7.6,Pulses
01.1.7.6,Dried common beans
01.1.7.6,Dried other beans
01.1.7.6,Dried broad beans
01.1.7.6,Dried horsebeans (fava beans)
01.1.7.6,Dried chickpeas
01.1.7.6,Dried lentils
01.1.7.6,Dried peas
01.1.7.6,Dried cowpeas
01.1.7.6,Dried pigeon peas
01.1.7.6,Dried bambara beans
01.1.7.6,Mixture of dried pulses
01.1.7.7,"Other vegetables, tubers, plantains and cooking bananas, dried and dehydrated"
01.1.7.7,dried soybeans
01.1.7.7,dried potatoes
01.1.7.7,dehydrated garlic
01.1.7.7,dehydrated onions
01.1.7.8,"Vegetables, tubers, plantains and cooking bananas, frozen"
01.1.7.8,frozen vegetables from subclasses 01.1.7.1 to 01.1.7.4
01.1.7.8,frozen tubers
01.1.7.8,frozen plantains
01.1.7.8,frozen cooking bananas
01.1.7.9,"Vegetables, tubers, plantains, cooking bananas and pulses, ground, and in other preparations"
01.1.7.9,"Flour made from vegetables, pulses, tubers, plantains, and cooking bananas"
01.1.7.9,Canned vegetables
01.1.7.9,"Preserved olives, vegetable flakes, vegetable purees, and vegetable chips and crisps"
01.1.7.9,Frozen chipped potatoes
01.1.7.9,Vegetable concentrates
