code,title
01.1.1.1,Cereals
01.1.1.1,Dried wheat cereal grains
01.1.1.1,Broken wheat cereal grains
01.1.1.1,Precooked wheat cereal grains
01.1.1.1,Steamed wheat cereal grains
01.1.1.1,Dried rice cereal grains
01.1.1.1,Parboiled rice cereal grains
01.1.1.1,Dried sorghum cereal grains
01.1.1.1,Dried barley cereal grains
01.1.1.1,Dried millet cereal grains
01.1.1.1,Dried maize cereal grains
01.1.1.1,Dried quinoa cereal grains
01.1.1.1,Dried teff cereal grains
01.1.1.1,Bulgur cereal grains
01.1.1.1,Dried rye cereal grains
01.1.1.1,Dried oats cereal grains
01.1.1.1,Dried triticale cereal grains
01.1.1.1,Dried buckwheat cereal grains
01.1.1.1,Dried canary seed cereal grains
01.1.1.1,Dried quihuicha cereal grains
01.1.1.1,Dried canagua cereal grains
01.1.1.1,Dried adlay cereal grains
01.1.1.1,Mixed dried cereal grains with other ingredients
01.1.1.2,Flour of cereals
01.1.1.2,flour of cereals
01.1.1.2,flour of cereals mentioned in subclass 01.1.1.1 whether instant (precooked - steamed - or added with yeasts) or not
01.1.1.2,flour of cereals listed under subclass 01.1.1.1
01.1.1.2,instant flour for bakery products with yeasts added
01.1.1.2,"polenta flour, whether instant (pre-steamed) or not"
01.1.1.3,Bread and bakery products
01.1.1.3,bread
01.1.1.3,bread rolls
01.1.1.3,crispbreads
01.1.1.3,rusks
01.1.1.3,toasted bread
01.1.1.3,crackers
01.1.1.3,tortillas
01.1.1.3,injera
01.1.1.3,pizza bases
01.1.1.3,gingerbread
01.1.1.3,sweet biscuits
01.1.1.3,waffles
01.1.1.3,wafers
01.1.1.3,ice cream cones
01.1.1.3,crumpets
01.1.1.3,muffins
01.1.1.3,croissants
01.1.1.3,sweet tarts
01.1.1.3,sweet pies
01.1.1.3,pastry goods
01.1.1.3,cakes
01.1.1.4,Breakfast cereals
01.1.1.4,cornflakes
01.1.1.4,oatmeal
01.1.1.4,oat flakes
01.1.1.4,muesli
01.1.1.4,granola
01.1.1.4,puffed rice cakes
01.1.1.4,breakfast cereals with nuts
01.1.1.4,breakfast cereals with dried fruit
01.1.1.5,"Macaroni, noodles, couscous and similar pasta products"
01.1.1.5,uncooked pasta
01.1.1.5,stuffed uncooked pasta
01.1.1.5,couscous
01.1.1.5,uncooked dumplings
01.1.1.5,ravioli
01.1.1.5,similar products to macaroni
01.1.1.5,similar products to noodles
01.1.1.5,similar products to couscous
01.1.1.9,Other milled cereal and grain products
01.1.1.9,mixes and doughs for the preparation of bakery products
01.1.1.9,popcorn
01.1.1.9,granola bars
01.1.1.9,malt and malt extract
01.1.1.9,cereal chips and crisps
01.1.1.9,seitan and other meat substitutes made from cereals
01.1.2.3,"Meat, dried, salted, in brine or smoked"
01.1.2.3,dried meat
01.1.2.3,salted meat
01.1.2.3,meat in brine
01.1.2.3,smoked meat
01.1.2.3,dried bacon
01.1.2.3,salted bacon
01.1.2.3,bacon in brine
01.1.2.3,smoked bacon
01.1.2.3,dried ham
01.1.2.3,salted ham
01.1.2.3,ham in brine
01.1.2.3,smoked ham
01.1.2.3,dried salami
01.1.2.3,salted salami
01.1.2.3,salami in brine
01.1.2.3,smoked salami
01.1.2.4,"Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked"
01.1.2.4,bones
01.1.2.4,pork heads
01.1.2.4,pork tails
01.1.2.4,pork ears
01.1.2.4,chicken feet
01.1.2.5,"Preparations of meat, offal, blood and other parts of slaughtered animals"
01.1.2.5,sausages
01.1.2.5,marinated meat
01.1.2.5,canned meat
01.1.2.5,meat extracts
01.1.2.5,meat juices
01.1.2.5,minced meat mix
01.1.2.5,pate
01.1.2.5,liver pate
01.1.2.5,breaded meat
01.1.2.5,"other preparations of meat, offal and blood"
01.1.3.1,"Fish, live, fresh, chilled or frozen"
01.1.3.1,"fish, live, purchased as food"
01.1.3.1,"fish, fresh, chilled or frozen"
01.1.3.1,"fish fillets and meat, whether minced or not, fresh, chilled or frozen"
01.1.3.2,"Fish, dried, salted, in brine or smoked"
01.1.3.2,fish fillets
01.1.3.2,fish meat
01.1.3.2,dried fish
01.1.3.2,salted fish
01.1.3.2,fish in brine
01.1.3.2,smoked fish
01.1.3.3,Fish preparations
01.1.3.3,fillets covered only with batter or breadcrumbs
01.1.3.3,canned fish
01.1.3.3,surimi
01.1.3.3,imitation crabmeat
01.1.3.5,"Other seafood, dried, salted, in brine or smoked"
01.1.3.5,dried seafood
01.1.3.5,salted seafood
01.1.3.5,seafood in brine
01.1.3.5,smoked seafood
01.1.3.6,Other seafood preparations
01.1.3.6,Other seafood preparations
01.1.3.6,Prepared foodstuffs consisting of other seafood
01.1.3.6,Frozen seafood preparations
01.1.3.6,Non-frozen seafood preparations
01.1.3.7,"Livers, roes and other offal of fish and of other seafood in all forms"
01.1.3.7,livers of fish
01.1.3.7,livers of seafood
01.1.3.7,roes of fish
01.1.3.7,roes of seafood
01.1.3.7,fins of fish
01.1.3.7,fins of seafood
01.1.3.7,maws of fish
01.1.3.7,maws of seafood
01.1.3.7,other offal of fish
01.1.3.7,other offal of seafood
01.1.3.7,fish offal meal
01.1.3.7,seafood offal meal
01.1.3.7,fresh fish livers
01.1.3.7,chilled fish livers
01.1.3.7,frozen fish livers
01.1.3.7,dried fish livers
01.1.3.7,salted fish livers
01.1.3.7,fish livers in brine
01.1.3.7,smoked fish livers
01.1.3.7,prepared fish livers
01.1.3.7,preserved fish livers
01.1.3.7,fresh seafood livers
01.1.3.7,chilled seafood livers
01.1.3.7,frozen seafood livers
01.1.3.7,dried seafood livers
01.1.3.7,salted seafood livers
01.1.3.7,seafood livers in brine
01.1.3.7,smoked seafood livers
01.1.3.7,prepared seafood livers
01.1.3.7,preserved seafood livers
01.1.4.1,Raw and whole milk
01.1.4.1,Raw milk of cattle
01.1.4.1,Whole milk of cattle
01.1.4.1,Raw milk of buffaloes
01.1.4.1,Whole milk of buffaloes
01.1.4.1,Raw milk of sheep
01.1.4.1,Whole milk of sheep
01.1.4.1,Raw milk of goats
01.1.4.1,Whole milk of goats
01.1.4.1,Raw milk of camels
01.1.4.1,Whole milk of camels
01.1.4.1,Raw milk of other animals
01.1.4.1,Whole milk of other animals
01.1.4.1,Fresh raw milk
01.1.4.1,Fresh whole milk
01.1.4.1,Pasteurized raw milk
01.1.4.1,Pasteurized whole milk
01.1.4.1,Sterilized (UHT) raw milk
01.1.4.1,Sterilized (UHT) whole milk
01.1.4.1,Reconstituted raw milk
01.1.4.1,Reconstituted whole milk
01.1.4.2,Skimmed milk
01.1.4.2,skimmed milk
01.1.4.2,skimmed milk of cattle
01.1.4.2,semi-skimmed milk of buffaloes
01.1.4.2,skimmed milk of sheep
01.1.4.2,semi-skimmed milk of goats
01.1.4.2,skimmed milk of camels
01.1.4.2,skimmed milk of other animals
01.1.4.3,Other milk and cream
01.1.4.3,powdered milk
01.1.4.3,whole milk
01.1.4.3,skimmed milk
01.1.4.3,evaporated milk
01.1.4.3,condensed milk
01.1.4.3,fresh cream
01.1.4.3,clotted cream
01.1.4.3,thickened cream
01.1.4.3,whipped cream
01.1.4.3,baked milk
01.1.4.4,Non-animal milk
01.1.4.4,almond milk
01.1.4.4,coconut milk for drinking
01.1.4.4,oat milk
01.1.4.4,rice milk
01.1.4.4,soy milk
01.1.4.4,milk from hazelnuts
01.1.4.4,milk from cashews
01.1.4.4,milk from peanuts
01.1.4.4,milk from pistachios
01.1.4.4,milk from other nuts
01.1.4.4,milk from carrots
01.1.4.4,milk from beets
01.1.4.4,milk from other vegetables
01.1.4.5,Cheese
01.1.4.5,fresh cheese
01.1.4.5,hard cheese
01.1.4.5,semi-hard cheese
01.1.4.5,blue cheese
01.1.4.5,cottage cheese
01.1.4.5,curd from animal milk
01.1.4.5,curd from non-animal milk
01.1.4.6,Yoghurt and similar products
01.1.4.6,yoghurt
01.1.4.6,buttermilk
01.1.4.6,curdled milk and cream
01.1.4.6,kefir
01.1.4.6,coconut yoghurt
01.1.4.6,soy yoghurt
01.1.4.7,Milk-based dessert and beverages
01.1.4.7,Milk-based dessert containing milk of animal origin
01.1.4.7,Milk-based dessert containing milk of non-animal origin
01.1.4.7,Milk-based beverage flavoured with cocoa containing milk of animal origin
01.1.4.7,Milk-based beverage flavoured with cocoa containing milk of non-animal origin
01.1.4.7,Milk-based beverage flavoured with coffee containing milk of animal origin
01.1.4.7,Milk-based beverage flavoured with coffee containing milk of non-animal origin
01.1.4.7,Milk-based beverage flavoured with other substances containing milk of animal origin
01.1.4.7,Milk-based beverage flavoured with other substances containing milk of non-animal origin
01.1.4.7,Milk-based pudding containing milk of animal origin
01.1.4.7,Milk-based pudding containing milk of non-animal origin
01.1.4.7,Panna cotta containing milk of animal origin
01.1.4.7,Panna cotta containing milk of non-animal origin
01.1.4.7,Creme brulee containing milk of animal origin
01.1.4.7,Creme brulee containing milk of non-animal origin
01.1.4.7,Crema catalana containing milk of animal origin
01.1.4.7,Crema catalana containing milk of non-animal origin
01.1.4.8,Eggs
01.1.4.8,"Eggs of hens in shell, fresh"
01.1.4.8,"Eggs of other birds in shell, fresh"
01.1.4.8,"Eggs of turtles in shell, fresh"
01.1.4.8,"Eggs of other animals in shell, fresh"
01.1.4.8,"Eggs whether in shell or not, preserved"
01.1.4.8,"Eggs whether in shell or not, cooked"
01.1.4.8,"Egg yolks, fresh"
01.1.4.8,"Egg yolks, preserved"
01.1.4.8,"Egg albumen, fresh"
01.1.4.8,"Egg albumen, preserved"
01.1.4.9,Other dairy products
01.1.4.9,whey
01.1.4.9,casein
01.1.4.9,cream
01.1.4.9,concentrated cream
01.1.4.9,cream with added sugar
01.1.4.9,cream with other sweeteners
01.1.4.9,cream powder
01.1.4.9,milk constituents
01.1.4.9,milk protein concentrates
01.1.4.9,products obtained from whey
01.1.5.1,Vegetable oils
01.1.5.1,sunflower seed oil
01.1.5.1,safflower oil
01.1.5.1,palm oil
01.1.5.1,olive oil
01.1.5.1,soya bean oil
01.1.5.1,groundnut oil
01.1.5.1,rapeseed oil
01.1.5.1,colza oil
01.1.5.1,mustard oil
01.1.5.1,corn oil
01.1.5.1,cotton oil
01.1.5.1,coconut oil
01.1.5.1,avocado oil
01.1.5.1,rice bran oil
01.1.5.2,Butter and other oils and fats derived from milk
01.1.5.2,butter
01.1.5.2,butter oil
01.1.5.2,ghee
01.1.5.3,Margarine and similar preparations
01.1.5.3,margarine
01.1.5.3,diet margarine
01.1.5.9,Other animal oils and fats
01.1.5.9,Pig fat and lard with leaves or other spices
01.1.5.9,Fat from cattle
01.1.5.9,Fat from buffaloes
01.1.5.9,Fat from sheep
01.1.5.9,Fat from goats
01.1.5.9,Fat from poultry
01.1.5.9,Greaves fat
01.1.5.9,Oils from fish
01.1.5.9,Fats from fish
01.1.6.1,"Dates, figs and tropical fruits, fresh"
01.1.6.1,dates
01.1.6.1,figs
01.1.6.1,avocados
01.1.6.1,sweet/dessert bananas
01.1.6.1,mangoes
01.1.6.1,guavas
01.1.6.1,mangosteens
01.1.6.1,papayas
01.1.6.1,pineapples
01.1.6.1,coconuts
01.1.6.1,breadfruits
01.1.6.1,other tropical and subtropical fruits
01.1.6.2,"Citrus fruits, fresh"
01.1.6.2,oranges
01.1.6.2,pomelos
01.1.6.2,grapefruits
01.1.6.2,lemons
01.1.6.2,limes
01.1.6.2,tangerines
01.1.6.2,mandarins
01.1.6.2,clementines
01.1.6.3,"Stone fruits and pome fruits, fresh"
01.1.6.3,apples
01.1.6.3,pears
01.1.6.3,quinces
01.1.6.3,apricots
01.1.6.3,cherries
01.1.6.3,sour cherries
01.1.6.3,peaches
