code,title
01.1.1.1,Cereals
01.1.1.1,Wheat kernels
01.1.1.1,Parboiled rice
01.1.1.1,Sorghum grain
01.1.1.1,Pearl barley
01.1.1.1,Millet seed
01.1.1.1,Dried maize
01.1.1.1,Quinoa grain
01.1.1.1,Teff grain
01.1.1.1,Bulgur wheat
01.1.1.1,Rye grain
01.1.1.1,Oat groats
01.1.1.1,Triticale grain
01.1.1.1,Buckwheat groats
01.1.1.1,Canary seed
01.1.1.1,Quihuicha grain
01.1.1.1,Canagua grain
01.1.1.1,Adlay grain
01.1.1.1,Mixed cereal grains
01.1.1.2,Flour of cereals
01.1.1.2,Wheat flour
01.1.1.2,Rye flour
01.1.1.2,Oat flour
01.1.1.2,Corn flour
01.1.1.2,Instant wheat flour with yeast
01.1.1.2,Pre-steamed polenta flour
01.1.1.3,Bread and bakery products
01.1.1.3,Whole wheat bread
01.1.1.3,Sourdough rolls
01.1.1.3,Rye crispbread
01.1.1.3,Wheat crackers
01.1.1.3,Corn tortillas
01.1.1.3,Teff injera
01.1.1.3,Plain pizza base
01.1.1.3,Gingerbread men
01.1.1.3,Chocolate chip cookies
01.1.1.3,Oatmeal biscuits
01.1.1.3,Vanilla wafers
01.1.1.3,Sugar cones
01.1.1.3,English muffins
01.1.1.3,Butter croissants
01.1.1.3,Fruit tarts
01.1.1.3,Apple pies
01.1.1.3,Chocolate cakes
01.1.1.4,Breakfast cereals
01.1.1.4,Frosted Flakes
01.1.1.4,Quick Oats
01.1.1.4,Raisin Bran
01.1.1.4,Nutty Muesli
01.1.1.4,Honey Almond Granola
01.1.1.4,Puffed Wheat
01.1.1.4,Rice Krispies
01.1.1.5,"Macaroni, noodles, couscous and similar pasta products"
01.1.1.5,Uncooked macaroni
01.1.1.5,Uncooked egg noodles
01.1.1.5,Uncooked cheese ravioli
01.1.1.5,Uncooked semolina couscous
01.1.1.5,Uncooked spinach tortellini
01.1.1.5,Uncooked gnocchi
01.1.1.9,Other milled cereal and grain products
01.1.1.9,Wheat flour dough
01.1.1.9,Popped corn kernels
01.1.1.9,Oatmeal granola bar
01.1.1.9,Barley malt extract
01.1.1.9,Rice cereal crisps
01.1.1.9,Wheat gluten seitan
01.1.2.1,Live land animals
01.1.2.1,Angus steer
01.1.2.1,Water buffalo
01.1.2.1,Yorkshire pig
01.1.2.1,Boer goat
01.1.2.1,Suffolk lamb
01.1.2.1,Dorset sheep
01.1.2.1,Plymouth Rock chicken
01.1.2.1,Pekin duck
01.1.2.1,Toulouse goose
01.1.2.1,Bronze turkey
01.1.2.1,Helmeted guineafowl
01.1.2.1,European hare
01.1.2.1,New Zealand White rabbit
01.1.2.1,Thoroughbred horse
01.1.2.1,Donkey
01.1.2.1,Camel
01.1.2.1,Llama
01.1.2.1,Ostrich
01.1.2.1,Emu
01.1.2.1,Greater rhea
01.1.2.1,Ring-necked pheasant
01.1.2.1,Willow ptarmigan
01.1.2.1,Rock pigeon
01.1.2.1,Japanese quail
