code,title
01.1.1.1,Cereals
01.1.1.1,"Dried cereal grains, whether broken or precooked (steamed), not further prepared such as wheat"
01.1.1.1,"Dried cereal grains, whether broken or precooked (steamed), not further prepared such as rice, including parboiled rice"
01.1.1.1,"Dried cereal grains, whether broken or precooked (steamed), not further prepared such as sorghum"
01.1.1.1,"Dried cereal grains, whether broken or precooked (steamed), not further prepared such as barley"
01.1.1.1,"Dried cereal grains, whether broken or precooked (steamed), not further prepared such as millet"
01.1.1.1,"Dried cereal grains, whether broken or precooked (steamed), not further prepared such as maize (corn)"
01.1.1.1,"Dried cereal grains, whether broken or precooked (steamed), not further prepared such as quinoa"
01.1.1.1,"Dried cereal grains, whether broken or precooked (steamed), not further prepared such as teff"
01.1.1.1,"Dried cereal grains, whether broken or precooked (steamed), not further prepared such as bulgur"
01.1.1.1,"Dried cereal grains, whether broken or precooked (steamed), not further prepared such as rye"
01.1.1.1,"Dried cereal grains, whether broken or precooked (steamed), not further prepared such as oats"
01.1.1.1,"Dried cereal grains, whether broken or precooked (steamed), not further prepared such as triticale"
01.1.1.1,"Dried cereal grains, whether broken or precooked (steamed), not further prepared such as buckwheat"
01.1.1.1,"Dried cereal grains, whether broken or precooked (steamed), not further prepared such as canary seed"
01.1.1.1,"Dried cereal grains, whether broken or precooked (steamed), not further prepared such as quihuicha, or Inca wheat"
01.1.1.1,"Dried cereal grains, whether broken or precooked (steamed), not further prepared such as canagua, or coaihua"
01.1.1.1,"Dried cereal grains, whether broken or precooked (steamed), not further prepared such as adlay or Job's tears"
01.1.1.1,"Dried cereal grains, whether broken or precooked (steamed), not further prepared such as mixed cereal grains, in the form of dried grains, also including other ingredients (provided that none of these is the main ingredient) but not further processed"
01.1.1.2,Flour of cereals
01.1.1.2,Flour of cereals mentioned in subclass 01.1.1.1
01.1.1.2,Flour of cereals mentioned in subclass 01.1.1.1 instant (precooked)
01.1.1.2,Flour of cereals mentioned in subclass 01.1.1.1 instant (steamed)
01.1.1.2,Flour of cereals mentioned in subclass 01.1.1.1 instant (with yeasts added)
01.1.1.2,Flour of cereals listed under subclass 01.1.1.1
01.1.1.2,Instant flour for bakery products with yeasts added
01.1.1.2,Polenta flour instant (pre-steamed)
01.1.1.2,Polenta flour
01.1.1.3,Bread and bakery products
01.1.1.3,Bread
01.1.1.3,Bread rolls
01.1.1.3,Crispbreads
01.1.1.3,Rusks
01.1.1.3,Toasted bread
01.1.1.3,Crackers
01.1.1.3,Tortillas
01.1.1.3,Injera
01.1.1.3,Pizza bases without topping precooked
01.1.1.3,Pizza bases without topping not precooked
01.1.1.3,Gingerbread
01.1.1.3,Sweet biscuits
01.1.1.3,Waffles
01.1.1.3,Wafers
01.1.1.3,Ice cream cones
01.1.1.3,Crumpets
01.1.1.3,Muffins
01.1.1.3,Croissants
01.1.1.3,Sweet tarts
01.1.1.3,Sweet pies
01.1.1.3,Pastry goods
01.1.1.3,Cakes
01.1.1.4,Breakfast cereals
01.1.1.4,cornflakes
01.1.1.4,oatmeal
01.1.1.4,oat flakes
01.1.1.4,muesli
01.1.1.4,granola
01.1.1.4,puffed cereals
01.1.1.4,puffed rice cakes
01.1.1.4,breakfast cereals with nuts
01.1.1.4,breakfast cereals with dried fruit
01.1.1.5,"Macaroni, noodles, couscous and similar pasta products"
01.1.1.5,Macaroni
01.1.1.5,Noodles
01.1.1.5,Couscous
01.1.1.5,Uncooked pasta whether stuffed or not
01.1.1.5,Uncooked dumplings
01.1.1.5,Uncooked ravioli
01.1.1.9,Other milled cereal and grain products
01.1.1.9,Mixes for the preparation of bakery products
01.1.1.9,Doughs for the preparation of bakery products
01.1.1.9,Popcorn
01.1.1.9,Granola bars
01.1.1.9,Malt
01.1.1.9,Malt extract
01.1.1.9,Cereal chips
01.1.1.9,Cereal crisps
01.1.1.9,Seitan
01.1.1.9,Meat substitutes made from cereals
01.1.2.1,Live land animals
01.1.2.1,"cattle (cows; calves; common ox, zebu or humped ox; watusi, gaur, gayal, banteng and yak)"
01.1.2.1,"buffaloes (Indian or water buffaloes; arnis, or Asiatic buffaloes; Celebes anoas, or pygmy buffaloes; African buffaloes, such as the dwarf buffalo and the large Caffrarian buffalo; American bisons, known simply as buffaloes; European bisons; and beefaloes (hybrid offspring of American bisons and domestic cattle)"
01.1.2.1,pigs
01.1.2.1,goats
01.1.2.1,lambs
01.1.2.1,sheep
01.1.2.1,poultry (chickens)
01.1.2.1,poultry (ducks)
01.1.2.1,poultry (geese)
01.1.2.1,poultry (turkeys)
01.1.2.1,poultry (guinea fowl)
01.1.2.1,hares
01.1.2.1,rabbits
01.1.2.1,horses
01.1.2.1,donkeys
01.1.2.1,other equines
01.1.2.1,camels
01.1.2.1,dromedaries
01.1.2.1,alpaca
01.1.2.1,llamas
01.1.2.1,guanacos
01.1.2.1,vicunas
01.1.2.1,other camelids
01.1.2.1,ostriches
01.1.2.1,emus
01.1.2.1,rheas
01.1.2.1,pheasants
01.1.2.1,grouse
01.1.2.1,pigeons
01.1.2.1,quails
01.1.2.1,other birds
01.1.2.1,snakes
01.1.2.1,other reptiles
01.1.2.1,spiders
01.1.2.1,scorpions
01.1.2.1,insects
01.1.2.1,worms
01.1.2.1,terrestrial snails
01.1.2.1,frogs
01.1.2.2,"Meat, fresh, chilled or frozen"
01.1.2.2,Meat of cattle (cows)
01.1.2.2,Meat of cattle (calves)
01.1.2.2,Meat of cattle (common ox)
01.1.2.2,Meat of cattle (zebu or humped ox)
01.1.2.2,Meat of cattle (watusi)
01.1.2.2,Meat of cattle (gaur)
01.1.2.2,Meat of cattle (gayal)
01.1.2.2,Meat of cattle (banteng)
01.1.2.2,Meat of cattle (yak)
01.1.2.2,Meat of buffaloes (Indian or water buffaloes)
01.1.2.2,"Meat of buffaloes (arnis, or wild water buffaloes)"
01.1.2.2,Meat of buffaloes (Asiatic buffalo or arni)
01.1.2.2,"Meat of buffaloes (Sulawesi anoas, or pygmy buffaloes)"
01.1.2.2,"Meat of buffaloes (African buffaloes, such as the dwarf buffalo)"
01.1.2.2,Meat of buffaloes (the large Caffrarian buffalo)
01.1.2.2,"Meat of buffaloes (the American bisons, known simply as buffaloes)"
01.1.2.2,Meat of buffaloes (European bisons)
01.1.2.2,Meat of buffaloes (beefaloes (hybrid offspring of American bisons and domestic cattle))
01.1.2.2,Meat of pigs
01.1.2.2,Meat of goats
01.1.2.2,Meat of lambs
01.1.2.2,Meat of sheep
01.1.2.2,Meat of poultry (chickens)
01.1.2.2,Meat of poultry (ducks)
01.1.2.2,Meat of poultry (geese)
01.1.2.2,Meat of poultry (turkeys)
01.1.2.2,Meat of poultry (guinea fowl)
01.1.2.2,Meat of hares
01.1.2.2,Meat of rabbits
01.1.2.2,Meat of horses
01.1.2.2,Meat of donkeys
01.1.2.2,Meat of other equines
01.1.2.2,Meat of camels
01.1.2.2,Meat of dromedaries
01.1.2.2,Meat of alpaca
01.1.2.2,Meat of llamas
01.1.2.2,Meat of guanacos
01.1.2.2,Meat of vicunas
01.1.2.2,Meat of other camelids
01.1.2.2,Meat of antelopes
01.1.2.2,Meat of deer
01.1.2.2,Meat of boars
01.1.2.2,Meat of kangaroos
01.1.2.2,Meat of ostriches
01.1.2.2,Meat of emus
01.1.2.2,Meat of rheas
01.1.2.2,Meat of pheasants
01.1.2.2,Meat of grouse
01.1.2.2,Meat of pigeons
01.1.2.2,Meat of quails
01.1.2.2,Meat of other birds
01.1.2.2,Meat of snakes
01.1.2.2,Meat of alligators
01.1.2.2,Meat of other reptiles
01.1.2.2,Spiders (not-live)
01.1.2.2,Scorpions (not-live)
01.1.2.2,Insects (not-live)
01.1.2.2,Worms (not-live)
01.1.2.2,Terrestrial snails
01.1.2.2,Frogs
01.1.2.2,Minced meat of the animals listed directly above
01.1.2.2,Meat of seals
01.1.2.2,Meat of walruses
01.1.2.2,Meat of whales
01.1.2.2,Meat of other marine mammals
01.1.2.3,"Meat, dried, salted, in brine or smoked"
01.1.2.3,"Meat of all animals, both domestic and wild, dried"
01.1.2.3,"Meat of all animals, both domestic and wild, salted"
01.1.2.3,"Meat of all animals, both domestic and wild, in brine"
01.1.2.3,"Meat of all animals, both domestic and wild, smoked"
01.1.2.3,Bacon
01.1.2.3,Ham
01.1.2.3,Salami
01.1.2.4,"Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked"
01.1.2.4,Fresh offal of slaughtered animals
01.1.2.4,Chilled offal of slaughtered animals
01.1.2.4,Frozen offal of slaughtered animals
01.1.2.4,Dried offal of slaughtered animals
01.1.2.4,Salted offal of slaughtered animals
01.1.2.4,Offal of slaughtered animals in brine
01.1.2.4,Smoked offal of slaughtered animals
01.1.2.4,Fresh blood of slaughtered animals
01.1.2.4,Chilled blood of slaughtered animals
