code,title
01.1.1.2,Flour of cereals
01.1.1.2,wheat flour
01.1.1.2,"rice flour, including parboiled rice flour"
01.1.1.2,sorghum flour
01.1.1.2,barley flour
01.1.1.2,millet flour
01.1.1.2,corn (maize) flour
01.1.1.2,quinoa flour
01.1.1.2,teff flour
01.1.1.2,bulgur flour
01.1.1.2,rye flour
01.1.1.2,oat flour
01.1.1.2,triticale flour
01.1.1.2,buckwheat flour
01.1.1.2,canary seed flour
01.1.1.2,quihuicha (Inca wheat) flour
01.1.1.2,canagua (coaihua) flour
01.1.1.2,adlay (Job's tears) flour
01.1.1.2,mixed cereal grain flour
01.1.1.2,instant bakery flour with yeasts added
01.1.1.2,polenta flour (pre-steamed or not)
01.1.1.4,Breakfast cereals
01.1.1.4,Cornflakes
01.1.1.4,Oatmeal
01.1.1.4,Oat flakes
01.1.1.4,Muesli
01.1.1.4,Granola
01.1.1.4,Puffed cereals
01.1.1.4,Puffed rice cakes
01.1.1.4,Breakfast cereals with nuts
01.1.1.4,Breakfast cereals with dried fruit
01.1.1.5,"Macaroni, noodles, couscous and similar pasta products"
01.1.1.5,Spaghetti
01.1.1.5,Fusilli
01.1.1.5,Lasagna
01.1.1.5,Ravioli
01.1.1.5,Tortellini
01.1.1.5,Couscous
01.1.1.5,Farfalle
01.1.1.5,Penne
01.1.1.5,Macaroni
01.1.1.5,Bows
01.1.1.9,Other milled cereal and grain products
01.1.1.9,mixes for bakery products
01.1.1.9,popcorn
01.1.1.9,granola bars
01.1.1.9,malt
01.1.1.9,malt extract
01.1.1.9,cereal chips
01.1.1.9,crisps
01.1.1.9,seitan
01.1.1.9,other meat substitutes made from cereals
01.1.2.1,Live land animals
01.1.2.1,cattle
01.1.2.1,buffaloes
01.1.2.1,pigs
01.1.2.1,"goats, lambs and sheep"
01.1.2.1,"poultry (chickens, ducks, geese, turkeys and guinea fowl)"
01.1.2.1,hares and rabbits
01.1.2.1,"horses, donkeys and other equines"
01.1.2.1,"camels, dromedaries, alpaca, llamas, guanacos, vicunas and other camelids"
01.1.2.1,"ostriches, emus, rheas, pheasants, grouse, pigeons, quails and other birds"
01.1.2.1,snakes and other reptiles
01.1.2.1,"spiders, scorpions, insects and worms"
01.1.2.1,terrestrial snails
01.1.2.1,frogs
01.1.2.2,"Meat, fresh, chilled or frozen"
01.1.2.2,fresh beef
01.1.2.2,chilled pork
01.1.2.2,frozen lamb
01.1.2.2,fresh venison
01.1.2.2,chilled bison
01.1.2.2,frozen goat meat
01.1.2.2,fresh chicken
01.1.2.2,chilled turkey
01.1.2.2,frozen duck
01.1.2.2,fresh rabbit meat
01.1.2.2,chilled horse meat
01.1.2.2,frozen donkey meat
01.1.2.2,fresh camel meat
01.1.2.2,chilled alpaca meat
